elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
67040.001332, 9.999548, 33, 9091, 16503.5, 15332, 25069, 32583, 32583, 32583, 0
67050.001289, 9.999957, 36, 8434, 15969.4, 15210, 22960, 25105, 25105, 25105, 0
67060.001439, 10.00015, 35, 9875, 15787.7, 15228, 21244, 24555, 24555, 24555, 0
67070.001672, 10.000233, 42, 7937, 15675.7, 15445, 21435, 29642, 29642, 29642, 0
67080.001242, 9.99957, 46, 11017, 15536.2, 15107, 21842, 23592, 23592, 23592, 0
67090.001425, 10.000183, 48, 9518, 17240.2, 16713, 23417, 27762, 27762, 27762, 0
67100.00122, 9.999795, 42, 7256, 15966.1, 15310, 24481, 25446, 25446, 25446, 0
67110.00118, 9.99996, 39, 10610, 16662.4, 16551, 24629, 27348, 27348, 27348, 0
67120.00125, 10.00007, 33, 7495, 16447.6, 15114, 24347, 31559, 31559, 31559, 0
67130.001263, 10.000013, 32, 9613, 15952.0, 16332, 19788, 23848, 23848, 23848, 0
67140.001226, 9.999963, 55, 8781, 14943.3, 14532, 20296, 22930, 23050, 23050, 0
67150.001219, 9.999993, 33, 9394, 17005.7, 15709, 24027, 29036, 29036, 29036, 0
67160.001247, 10.000028, 53, 8995, 16905.6, 16060, 24260, 25551, 29036, 29036, 0
67170.001463, 10.000216, 47, 10763, 16357.0, 15821, 22264, 28579, 28579, 28579, 0
67180.002064, 10.000601, 36, 8666, 15679.5, 15640, 21139, 26077, 26077, 26077, 0
67190.000472, 9.998408, 30, 10770, 14885.9, 14344, 20317, 23295, 23295, 23295, 0
67200.001321, 10.000849, 52, 10368, 17220.5, 16825, 22617, 24484, 29313, 29313, 0
67210.001229, 9.999908, 38, 9650, 16965.6, 15669, 23315, 39653, 39653, 39653, 0
67220.001229, 10.0, 38, 7896, 16207.7, 15546, 23611, 36426, 36426, 36426, 0
67230.001679, 10.00045, 47, 8076, 16119.2, 15631, 21607, 28628, 28628, 28628, 0
67240.001173, 9.999494, 47, 8889, 15997.0, 16598, 21607, 24357, 24357, 24357, 0
67250.002706, 10.001533, 36, 8889, 16619.1, 15288, 21482, 50968, 50968, 50968, 0
67260.001591, 9.998885, 40, 9969, 16506.2, 15326, 23740, 26379, 26379, 26379, 0
67270.00129, 9.999699, 37, 9222, 15974.7, 15247, 22100, 25788, 25788, 25788, 0
67280.001483, 10.000193, 44, 7257, 16519.4, 15849, 24420, 25062, 25062, 25062, 0
67290.001225, 9.999742, 37, 9073, 15744.0, 15004, 22831, 34803, 34803, 34803, 0
67300.001277, 10.000052, 41, 9739, 15505.8, 14724, 22324, 33123, 33123, 33123, 0
67310.001184, 9.999907, 52, 9257, 15859.9, 14961, 21361, 24560, 28868, 28868, 0
67320.00171, 10.000526, 33, 9795, 16106.1, 15434, 21537, 33722, 33722, 33722, 0
67330.001295, 9.999585, 35, 9057, 14801.2, 14569, 20211, 22840, 22840, 22840, 0
67340.001657, 10.000362, 42, 9057, 16325.1, 15706, 23908, 32550, 32550, 32550, 0
67350.001215, 9.999558, 49, 10579, 16267.8, 15575, 21478, 26895, 26895, 26895, 0
67360.00126, 10.000045, 35, 10571, 15648.3, 14919, 20314, 22434, 22434, 22434, 0
67370.001908, 10.000648, 26, 10481, 16308.8, 15745, 22485, 23316, 23316, 23316, 0
67380.001412, 9.999504, 37, 8109, 15775.5, 15745, 21202, 24791, 24791, 24791, 0
67390.001628, 10.000216, 34, 8935, 17403.2, 15916, 25180, 30606, 30606, 30606, 0
67400.002682, 10.001054, 46, 8424, 16772.3, 16244, 25027, 30838, 30838, 30838, 0
67410.001211, 9.998529, 28, 8395, 16312.1, 14824, 25165, 40211, 40211, 40211, 0
67420.001215, 10.000004, 41, 11185, 16792.3, 15496, 24136, 28755, 28755, 28755, 0
