datetime	delete	offset	cap	key1	key2
2014/9/18 3:47	 	1684916864	1373KB	94587	94587
2014/9/18 3:47	 	1689711837	31KB	94593	94593
2014/9/18 3:47	 	1694538697	3KB	94597	94597
2014/9/18 3:47	 	1715295394	3KB	94608	94608
2014/9/18 3:47	 	1738055840	1441KB	94618	94618
2014/9/18 3:47	 	1748390929	416KB	94621	94621
2014/9/18 3:47	 	1749181448	2KB	94623	94623
2014/9/18 3:47	 	1767139571	18KB	94638	94638
2014/9/18 3:47	 	1781681676	754KB	94646	94646
2014/9/18 3:47	 	1811161867	157KB	94664	94664
2014/9/18 3:47	 	1815123742	224KB	94666	94666
2014/9/18 3:47	 	1843638529	48KB	94680	94680
2014/9/18 3:47	 	1865979685	314KB	94689	94689
2014/9/18 3:47	 	1923811988	9KB	94715	94715
2014/9/18 3:47	 	1938275840	1323KB	94719	94719
2014/9/18 3:47	 	1966399354	6KB	94735	94735
2014/9/18 3:47	 	1986269404	769KB	94746	94746
2014/9/18 3:47	 	2020988497	48KB	94764	94764
2014/9/18 3:47	 	2038009953	104KB	94775	94775
2014/9/18 3:47	 	2041124163	326KB	94777	94777
2014/9/18 3:47	 	2060990809	658KB	94785	94785
2014/9/18 3:47	 	2067299897	458KB	94787	94787
2014/9/18 3:47	 	2112082107	89KB	94810	94810
2014/9/18 3:47	 	2113921517	5KB	94812	94812
2014/9/18 3:47	 	2135833968	6KB	94823	94823
2014/9/18 3:47	 	2137617190	5KB	94824	94824
2014/9/18 3:47	 	2145051202	1050KB	94827	94827
2014/9/18 3:47	 	2173164901	9KB	94841	94841
2014/9/18 3:47	 	2218628712	3KB	94864	94864
2014/9/18 3:47	 	2251146323	674KB	94878	94878
2014/9/18 3:47	 	2256461615	6KB	94881	94881
2014/9/18 3:47	 	2264638032	341KB	94887	94887
2014/9/18 3:47	 	2282625116	95KB	94900	94900
2014/9/18 3:47	 	2321577294	48KB	94927	94927
2014/9/18 3:47	 	2321671783	4KB	94928	94928
2014/9/18 3:47	 	2338278144	205KB	94940	94940
2014/9/18 3:47	 	2356971055	4KB	94955	94955
2014/9/18 3:47	 	2368968651	1421KB	94963	94963
2014/9/18 3:47	 	2408806206	1KB	94993	94993
2014/9/18 3:47	 	2417486783	63KB	95000	95000
2014/9/18 3:47	 	2449830979	384KB	95013	95013
2014/9/18 3:47	 	2482375787	56KB	95034	95034
2014/9/18 3:47	 	2482686628	6KB	95035	95035
2014/9/18 3:47	 	2506630396	1471KB	95047	95047
2014/9/18 3:47	 	2512446020	3KB	95053	95053
2014/9/18 3:47	 	2526831140	479KB	95062	95062
2014/9/18 3:47	 	2545505365	1260KB	95074	95074
2014/9/18 3:47	 	2607257531	967KB	95097	95097
2014/9/18 3:47	 	2610198679	6KB	95100	95100
2014/9/18 3:47	 	2612187602	153KB	95101	95101
2014/9/18 3:47	 	2617572096	579KB	95102	95102
